Community,Year,Volume,Events,Outfalls
Cape Elizabeth,1987,NA,5,1
Cape Elizabeth,1988,NA,5,1
Cape Elizabeth,1989,NA,5,NA
Cape Elizabeth,1990,NA,5,NA
Cape Elizabeth,1991,NA,5,NA
Cape Elizabeth,1992,NA,5,NA
Cape Elizabeth,1993,NA,5,NA
Cape Elizabeth,1994,NA,5,NA
Cape Elizabeth,1995,NA,5,NA
Cape Elizabeth,1996,NA,5,NA
Cape Elizabeth,1997,5400000,2,NA
Cape Elizabeth,1998,5400000,3,NA
Cape Elizabeth,1999,5400000,5,NA
Cape Elizabeth,2000,739000,5,NA
Cape Elizabeth,2001,100000,3,NA
Cape Elizabeth,2002,0,0,1
Cape Elizabeth,2003,630000,2,1
Cape Elizabeth,2004,1325000,5,1
Cape Elizabeth,2005,4807000,20,1
Cape Elizabeth,2006,5365000,20,1
Cape Elizabeth,2007,3254000,5,1
Cape Elizabeth,2008,2567000,11,1
Cape Elizabeth,2009,3527000,17,1
Cape Elizabeth,2010,3955292,12,1
Cape Elizabeth,2011,1072000,6,1
Cape Elizabeth,2012,2735000,11,1
Cape Elizabeth,2013,41000,2,1
Cape Elizabeth,2014,1440000,12,1
Cape Elizabeth,2015,277000,2,1
Cape Elizabeth,2016,251000,6,1
Cape Elizabeth,2017,277000,2,1
Cape Elizabeth,2018,375000,4,1
Cape Elizabeth,2019,432000,2,1
Portland & PWD,1987,NA,100,42
Portland & PWD,1988,NA,100,42
Portland & PWD,1989,NA,100,NA
Portland & PWD,1990,NA,100,NA
Portland & PWD,1991,NA,100,NA
Portland & PWD,1992,NA,100,NA
Portland & PWD,1993,NA,100,NA
Portland & PWD,1994,NA,100,NA
Portland & PWD,1995,NA,100,NA
Portland & PWD,1996,NA,100,NA
Portland & PWD,1997,457505000,61,NA
Portland & PWD,1998,1788201000,102,NA
Portland & PWD,1999,740737000,81,NA
Portland & PWD,2000,993511000,83,NA
Portland & PWD,2001,807157162,58,NA
Portland & PWD,2002,1245153000,141,34
Portland & PWD,2003,454680000,71,34
Portland & PWD,2004,607351945,86,34
Portland & PWD,2005,1296000000,88,34
Portland & PWD,2006,1816525856,93,34
Portland & PWD,2007,589203712,58,33
Portland & PWD,2008,883105087,87,33
Portland & PWD,2009,872751281,104,33
Portland & PWD,2010,780188153,79,32
Portland & PWD,2011,496288000,88,32
Portland & PWD,2012,704319257,70,31
Portland & PWD,2013,179403901,63,31
Portland & PWD,2014,414421500,75,31
Portland & PWD,2015,254663330,58,31
Portland & PWD,2016,318359691,56,30
Portland & PWD,2017,175675000,38,30
Portland & PWD,2018,283612831,49,30
Portland & PWD,2019,184453600,46,30
South Portland,1987,NA,23,28
South Portland,1988,NA,23,28
South Portland,1989,NA,23,NA
South Portland,1990,NA,23,NA
South Portland,1991,NA,23,NA
South Portland,1992,NA,23,NA
South Portland,1993,NA,23,NA
South Portland,1994,NA,23,NA
South Portland,1995,NA,23,NA
South Portland,1996,NA,23,NA
South Portland,1997,31046134,21,NA
South Portland,1998,182646264,23,NA
South Portland,1999,50000000,23,NA
South Portland,2000,17535575,15,NA
South Portland,2001,49503494,12,NA
South Portland,2002,4467429,11,8
South Portland,2003,7896125,10,8
South Portland,2004,19812914,10,6
South Portland,2005,26810104,20,8
South Portland,2006,26118706,20,7
South Portland,2007,15727553,5,5
South Portland,2008,12883433,10,6
South Portland,2009,12183196,10,6
South Portland,2010,42095393,12,6
South Portland,2011,14906594,13,6
South Portland,2012,37134882,12,6
South Portland,2013,1858579,7,6
South Portland,2014,15531600,9,6
South Portland,2015,11161602,2,6
South Portland,2016,6240350,3,6
South Portland,2017,2033229,2,6
South Portland,2018,3533710,4,4
South Portland,2019,8651990,3,4
Westbrook,1987,NA,50,7
Westbrook,1988,NA,50,7
Westbrook,1989,NA,50,NA
Westbrook,1990,NA,50,NA
Westbrook,1991,NA,50,NA
Westbrook,1992,NA,50,NA
Westbrook,1993,NA,50,NA
Westbrook,1994,NA,50,NA
Westbrook,1995,NA,50,NA
Westbrook,1996,NA,50,NA
Westbrook,1997,38407000,34,NA
Westbrook,1998,49090000,30,NA
Westbrook,1999,21391000,19,NA
Westbrook,2000,1229000,16,NA
Westbrook,2001,2187000,15,NA
Westbrook,2002,271000,33,5
Westbrook,2003,7000,7,5
Westbrook,2004,944000,13,5
Westbrook,2005,11119000,17,5
Westbrook,2006,40636729,31,5
Westbrook,2007,15879000,55,5
Westbrook,2008,7379066,50,5
Westbrook,2009,7069280,11,5
Westbrook,2010,14105989,12,5
Westbrook,2011,12202000,16,5
Westbrook,2012,18903485,13,5
Westbrook,2013,6222000,60,5
Westbrook,2014,11932000,70,5
Westbrook,2015,4423000,49,5
Westbrook,2016,7447100,38,5
Westbrook,2017,1285000,2,5
Westbrook,2018,1631000,6,5
Westbrook,2019,9816000,4,5
Yarmouth,1987,NA,4,2
Yarmouth,1988,NA,4,2
Yarmouth,1989,NA,4,NA
Yarmouth,1990,NA,4,NA
Yarmouth,1991,NA,4,NA
Yarmouth,1992,NA,4,NA
Yarmouth,1993,NA,4,NA
Yarmouth,1994,NA,4,NA
Yarmouth,1995,NA,4,NA
Yarmouth,1996,NA,4,NA
Yarmouth,1997,0,0,NA
Yarmouth,1998,500,4,NA
Yarmouth,1999,500,4,NA
Yarmouth,2000,200,2,NA
Yarmouth,2001,200,1,NA
Yarmouth,2002,0,0,1
Yarmouth,2003,NA,NA,0
Yarmouth,2004,NA,NA,NA
Yarmouth,2005,NA,NA,NA
Yarmouth,2006,NA,NA,NA
Yarmouth,2007,NA,NA,NA
Yarmouth,2008,NA,NA,NA
Yarmouth,2009,NA,NA,NA
Yarmouth,2010,NA,NA,NA
Yarmouth,2011,NA,NA,NA
Yarmouth,2012,NA,NA,NA
Yarmouth,2013,NA,NA,NA
Yarmouth,2014,NA,NA,NA
Yarmouth,2015,NA,NA,NA
Yarmouth,2016,NA,NA,NA
Yarmouth,2017,NA,NA,NA
Yarmouth,2018,NA,NA,NA
Yarmouth,2019,NA,NA,NA
